metric,classifier_mode,feature_transform,model,train_subjects_noICBM,train_samples,test_subjects_ICBM,test_samples,n_features,inner_cv_scoring,inner_splits,best_params,best_inner_cv_roc_auc,icbm_external_auc,icbm_external_acc,icbm_external_paired_rank_acc,sch_external_auc,sch_external_acc,sch_external_right_recall,sch_external_paired_rank_acc,confusion_matrix_labels_0LH_1RH
GLS_ANS,single,hemi_zscore,"LogisticRegression(saga, class_weight=balanced) + median impute + standard scaler",538,1076,86,172,180,roc_auc,5,"{'model__C': np.float64(0.1082636733874054), 'model__penalty': 'l2'}",0.9999479156744631,0.9995943753380205,0.9825581395348837,1.0,0.9101417151809716,0.8201476793248945,0.6972573839662447,0.880801687763713,"[[86, 0], [3, 83]]"
GLS_RNS,single,hemi_zscore,"LogisticRegression(saga, class_weight=balanced) + median impute + standard scaler",538,1076,86,172,180,roc_auc,5,"{'model__C': np.float64(0.0006723357536499335), 'model__penalty': 'l2'}",1.0,1.0,1.0,1.0,0.8740953639908133,0.760548523206751,0.6635021097046413,0.7805907172995781,"[[86, 0], [0, 86]]"
