metric,classifier_mode,feature_transform,model,train_subjects_noICBM,train_samples,test_subjects_ICBM,test_samples,n_features,inner_cv_scoring,inner_splits,best_params,best_inner_cv_roc_auc,icbm_external_auc,icbm_external_acc,icbm_external_paired_rank_acc,sch_external_auc,sch_external_acc,sch_external_right_recall,sch_external_paired_rank_acc,confusion_matrix_labels_0LH_1RH
GLS_ANS,paired_residual,subject_lr_residual_zscore,"LogisticRegression(saga, class_weight=balanced) + median impute + standard scaler",538,1076,86,172,180,roc_auc,5,"{'model__C': np.float64(0.0006723357536499335), 'model__penalty': 'l2'}",1.0,1.0,1.0,1.0,0.9630067296907547,0.8924050632911392,0.8924050632911392,0.8924050632911392,"[[86, 0], [0, 86]]"
GLS_RNS,paired_residual,subject_lr_residual_zscore,"LogisticRegression(saga, class_weight=balanced) + median impute + standard scaler",538,1076,86,172,180,roc_auc,5,"{'model__C': np.float64(0.0001), 'model__penalty': 'l2'}",1.0,1.0,1.0,1.0,0.950113719311364,0.8575949367088608,0.8575949367088608,0.8575949367088608,"[[86, 0], [0, 86]]"
